puma22,Num Eligible,Num Ineligible
1208608,17379,16029
1208609,29862,10516
1208610,17104,16318
1208611,27103,21346
1208612,19398,26567
1208613,36116,17378
1208614,19479,32036
1208615,27992,14106
1208616,11524,28335
1208617,17917,17942
1208618,17031,16410
1208619,16665,18324
1208620,16345,22586
1208621,21229,24825
1208622,25920,15945
1208623,18083,16716
1208624,24835,10821
1208625,18559,25883
1209101,15562,28580
1209102,14226,26134
1209501,25051,25658
1209502,21373,27651
1209503,19482,41670
1209504,32665,27867
1209505,26467,31807
1209506,24882,15213
1209507,22167,34187
1209508,22155,18738
1209509,21021,25770
1209510,22936,25516
1209701,18343,16649
1209702,14945,20101
1209703,30819,32183
1209901,12745,34754
1209902,19007,35799
1209903,35597,32562
1209904,27712,20916
1209905,24076,23100
1209906,27152,42612
1209907,24830,38025
1209908,15751,38931
1209909,16134,28858
1209910,10024,34775
1209911,23144,28972
1210101,23118,35714
1210102,21578,28255
1210103,32957,28268
1210104,16595,43023
1210301,16254,35732
1210302,19656,32938
1210303,19733,27588
1210304,20617,29358
1210305,14600,34529
1210306,24308,26411
1210307,26533,45845
1210308,16536,30037
1210501,21312,19195
1210502,34074,34563
1210503,24224,34660
1210504,33201,27607
1210505,24622,22980
1210799,22128,21532
1210902,9387,31191
1210903,12640,41972
1211101,21468,22179
1211102,17272,23955
1211103,18027,28479
1211300,21453,50269
1211501,19664,41489
1211502,20112,50506
1211503,24046,48202
1211701,13950,34422
1211702,20326,26699
1211703,19886,27465
1211704,10923,34309
1211900,20912,43139
1212701,23605,29588
1212702,33672,35451
1212703,31652,37697
1212704,22461,30311
1300100,31666,37542
1300200,17800,17946
1300300,31473,40765
1300400,24598,32848
1300500,25556,25372
1300601,16646,19837
1300602,16347,19487
1300701,7133,28411
1300702,10236,40687
1300801,9001,30303
1300802,15306,45384
1300900,14286,24281
1301000,29145,33397
1301100,20564,37607
1301200,20199,31248
1301301,16735,33656
1301302,10895,43309
1301303,24363,40495
1301304,15041,33448
1301305,26465,48349
1301401,13333,42114
1301402,9527,41940
1301403,11264,40883
1301404,19425,64518
1301405,23890,46130
1301406,37575,26752
1301407,21734,23292
1301408,19399,22566
1301501,14740,44259
1301502,18606,27192
1301503,16847,27181
1301504,13984,30253
1301505,14775,24432
1301506,17792,26109
1301601,23736,35911
1301602,13236,31332
1301603,15460,28819
1301604,17360,24322
