zcta,Num Eligible,Num Ineligible
03604,1,3
03605,163,275
03607,46,78
03608,373,685
03609,107,197
03740,158,267
03741,597,1010
03743,1985,3358
03745,238,402
03748,679,1150
03750,138,234
03751,58,99
03752,114,193
03753,510,862
03755,1601,2710
03765,70,119
03766,1444,2443
03768,255,431
03770,85,144
03771,126,213
03773,1145,1938
03774,264,447
03777,182,308
03779,112,189
03780,70,119
03781,274,464
03782,444,751
03784,653,1104
03785,330,558
03801,2325,7238
03809,559,951
03810,344,585
03811,723,2250
03812,143,243
03813,565,962
03814,362,617
03816,201,342
03817,68,116
03818,534,909
03819,430,1340
03820,3881,9223
03823,227,541
03824,1834,4358
03825,1103,2623
03826,274,853
03827,337,1049
03830,246,419
03832,62,106
03833,2315,7206
03835,800,1900
03836,259,440
03837,226,384
03838,176,299
03839,480,1140
03840,416,1296
03841,662,2061
03842,1639,5101
03844,248,771
03845,168,285
03846,153,261
03847,50,85
03848,634,1972
03849,222,377
03850,52,88
03851,460,1094
03852,69,165
03853,118,201
03854,102,316
03855,318,756
03856,181,563
03857,1116,2652
03858,491,1530
03860,600,1022
03861,533,1267
03862,469,1460
03864,306,521
03865,800,2491
03867,2646,6288
03868,718,1706
03869,291,693
03870,534,1662
03871,26,82
03872,611,1039
03873,670,2086
03874,873,2718
03875,149,254
03878,1411,3353
03882,259,440
03883,46,78
03884,501,1191
03885,782,2434
03886,304,518
03887,267,598
03890,27,46
03894,979,1666
03897,8,14
03901,1020,2252
03902,303,668
03903,862,1904
03904,1046,2309
03905,248,547
03906,641,1415
03907,203,447
03908,958,2115
03909,1403,3099
03910,14,32
03911,41,89
04001,343,758
04002,974,2152
04003,42,109
04005,2682,7658
04006,11,31
04008,359,925
04009,679,1499
04010,389,337
04011,2562,6591
04015,430,1106
04017,43,125
04019,12,21
04020,193,426
04021,722,2114
04022,283,245
04024,74,163
04027,831,1836
04029,245,542
04030,288,637
04032,1029,2648
04037,892,773
04038,1966,5758
04039,933,2401
04040,409,777
04041,382,331
04042,610,1347
04043,1482,3272
04046,1013,2236
04047,231,510
04048,410,905
04049,500,1105
04050,41,70
04051,261,226
04055,505,1115
04056,21,47
04057,14,32
04061,441,973
04062,1981,5803
04063,55,160
04064,907,2657
04066,68,175
04068,382,331
04069,185,476
04071,580,1490
04072,2187,6403
04073,2218,4898
04074,2355,6897
04076,376,831
04079,481,1238
04083,603,1331
04084,1060,2341
04085,255,563
04086,1126,2896
04087,291,642
04088,364,315
04090,1453,3209
04091,122,268
04092,3587,6157
04093,1075,2373
04095,191,421
04096,1059,2724
04097,480,1235
04101,3183,5463
04102,3165,5432
04103,5483,9410
04105,1331,3898
04106,4672,8042
04107,1029,3005
04108,160,275
04109,24,42
04110,188,552
04210,3962,6067
04216,158,137
04217,779,675
04219,367,318
04220,757,656
04221,268,232
04222,686,1051
04224,654,566
04226,22,19
04227,4,3
04231,66,57
04234,7,6
04236,721,1104
04237,70,60
04238,290,251
04239,1098,951
04240,6113,9359
04250,792,1213
04252,803,1230
04253,350,535
04254,503,771
04255,173,150
04256,512,785
04257,654,566
04258,456,698
04259,581,802
04260,669,1720
04261,118,102
04263,373,572
04265,165,228
04267,7,6
04268,1208,1047
04270,1447,1254
04271,11,10
04274,972,1488
04275,110,95
04276,1392,1206
04280,1100,1684
04281,1219,1056
04282,957,1466
04284,203,281
04285,88,76
04286,4,3
04287,370,951
04289,422,366
04290,353,305
04292,235,204
04294,918,796
04330,4810,6644
04341,12,19
04342,309,475
04344,547,755
04345,2203,3043
04346,319,440
04347,470,649
04348,563,866
04349,212,293
04350,655,905
04351,450,621
04352,314,434
04353,419,645
04354,281,433
04355,474,655
04357,415,1067
04358,800,1105
04359,84,115
04360,106,147
04363,481,665
04364,1118,1545
04401,9316,9869
04406,180,156
04408,37,56
04410,247,261
04411,321,340
04412,2021,2141
04413,34,30
04414,261,226
04415,62,54
04416,976,1501
04417,93,84
04418,367,378
04419,598,633
04421,236,362
04422,324,343
04424,198,177
04426,1150,996
04427,606,642
04428,633,671
04429,980,1178
04430,374,334
04431,3,5
04434,258,273
04435,200,212
04438,220,339
04441,389,337
04442,26,22
04443,518,449
04444,1944,2060
04448,296,269
04449,288,305
04450,282,299
04451,48,43
04453,155,159
04454,14,13
04455,218,195
04456,614,651
04457,1354,1210
04459,159,142
04460,295,263
04461,642,680
04462,1049,937
04463,657,570
04464,143,124
04468,1837,1946
04469,650,689
04471,147,132
04472,395,607
04473,1687,1787
04474,795,843
04475,74,78
04476,202,311
04478,66,57
04479,312,270
04481,158,137
04485,59,51
04487,184,165
04488,247,261
04489,41,44
04490,48,43
04491,25,23
04492,31,28
04493,428,382
04495,96,86
04496,682,1049
04497,74,66
04530,1313,3378
04535,128,198
04537,358,551
04538,309,475
04539,220,339
04541,9,14
04543,410,631
04544,125,193
04547,205,315
04548,124,320
04551,147,226
04553,330,508
04554,116,179
04555,321,494
04556,214,329
04558,73,113
04562,254,654
04563,269,414
04564,92,141
04568,83,127
04570,3,5
04571,55,85
04572,924,1421
04573,119,184
04574,285,438
04575,52,80
04576,107,165
04578,798,1228
04579,362,931
04605,2444,3760
04606,272,243
04607,220,339
04609,912,1402
04611,105,94
04612,107,165
04613,21,33
04614,499,767
04616,147,226
04617,128,198
04619,734,656
04622,312,282
04623,224,200
04624,37,56
04625,12,19
04626,125,111
04627,346,532
04628,159,142
04630,326,291
04631,306,273
04634,358,551
04635,6,9
04640,434,668
04642,37,56
04643,229,205
04645,15,24
04646,18,28
04648,136,122
04649,297,266
04650,46,71
04652,365,327
04653,104,160
04654,788,704
04655,229,205
04657,82,73
04658,326,291
04660,254,391
04662,83,127
04664,217,334
04666,266,238
04667,354,316
04668,419,375
04669,31,47
04671,127,114
04673,24,38
04674,67,104
04675,49,75
04676,193,296
04677,49,75
04679,315,485
04680,269,240
04681,190,292
04683,0,0
04684,291,447
04685,64,99
04686,31,28
04691,110,99
04693,83,127
04694,507,453
04730,2334,2086
04732,357,319
04733,40,35
04734,176,157
04735,127,114
04736,2150,1921
04739,235,210
04740,314,281
04742,790,706
04743,1099,982
04745,249,223
04746,88,78
04747,306,273
04750,433,387
04756,745,666
04757,660,590
04758,326,291
04760,178,159
04761,142,127
04762,136,122
04763,159,142
04764,11,10
04765,266,238
04766,88,78
04768,88,78
04769,2093,1871
04772,173,154
04773,184,165
04774,161,144
04776,215,192
04777,91,81
04779,105,94
04780,176,157
04781,127,114
04783,113,101
04785,552,494
04786,416,372
04787,105,94
04841,1242,1911
04843,939,1445
04847,303,466
04848,104,160
04849,691,1064
04851,9,14
04852,12,19
04853,73,113
04854,272,419
04855,31,47
04856,652,1002
04858,269,414
04859,116,179
04860,321,494
04861,489,753
04862,679,1045
04863,229,353
04864,872,1341
04901,4842,6688
04910,366,506
04911,455,395
04912,235,204
04915,1631,2508
04917,597,824
04918,2,3
04920,382,331
04921,291,447
04922,196,301
04923,107,92
04924,522,452
04925,22,19
04926,7,9
04927,617,852
04928,463,491
04929,209,181
04930,909,942
04932,252,267
04936,62,54
04937,1513,1311
04938,2281,1976
04939,214,227
04940,15,13
04941,309,475
04942,268,232
04943,404,350
04944,15,13
04945,268,232
