puma22,Num Eligible,Num Ineligible,American Indian and Alaska Native Eligible,Asian Eligible,Black or African American Eligible,Native Hawaiian Eligible,White Eligible,Hispanic or Latino Eligible,Veteran Eligible,Elderly Eligible,DIS Eligible,English less than very well Eligible,Percentage Eligible
0605921,16271,32424,447,3839,468,1,10481,6234,454,5908,3789,6165,33.41
0605922,15490,29074,381,4782,730,27,9401,4923,573,5253,3253,5797,34.76
0605923,19560,32393,378,8950,1671,104,10426,3559,1129,5760,3257,7066,37.65
0605924,14454,26406,301,6085,1095,73,8223,2656,857,4833,2704,4907,35.37
0605925,20941,57538,582,4999,609,83,15874,3584,1539,11569,6225,4487,26.68
0605926,11101,32896,380,1837,120,9,8995,2644,683,6363,4273,2462,25.23
0605927,8608,29025,467,1990,457,0,7567,1129,1317,4901,1809,1364,22.87
0605928,18719,54287,562,1834,553,0,15363,6265,1750,8127,6259,4026,25.64
0606101,20252,40051,807,3638,2042,67,16188,5947,3012,9147,6535,3723,33.58
0606102,14932,34988,884,2204,603,214,12407,3561,1888,7390,6790,1081,29.91
0606103,14935,30760,913,1155,0,0,13809,3546,966,6515,4675,1392,32.68
0606501,36057,25352,1258,867,979,0,18027,30605,892,15396,8971,20651,58.72
0606502,26986,31085,399,2005,1777,117,22048,10714,2168,14963,7956,5166,46.47
0606507,29782,25915,2825,1681,4363,78,20597,17390,3476,13048,9420,6599,53.47
0606509,22828,12962,620,942,2757,0,8324,15744,1465,9852,7808,11646,63.78
0606511,24605,23767,1973,2151,2114,0,11473,16052,1378,9197,9237,9838,50.87
0606514,20467,25430,545,3423,1874,0,7862,13392,1568,9837,6368,8382,44.59
0606515,33208,32707,1381,2301,2345,0,23128,13912,3345,17760,11153,8273,50.38
0606516,15703,18958,521,1114,1924,0,11104,7783,2440,6483,6188,3090,45.3
0606517,17471,21064,583,1235,2142,0,12351,8658,2714,7205,6878,3437,45.34
0606518,14664,12707,821,1583,3504,33,5463,9418,1441,5640,5158,6575,53.57
0606519,14509,12403,813,1564,3497,26,5370,9333,1437,5582,5115,6576,53.91
0606520,18750,25337,1047,2505,2631,328,8641,11269,1474,7127,6167,5519,42.53
0606521,11909,20065,599,1961,1052,0,6582,6134,655,5393,4262,5110,37.25
0606522,18277,22935,623,1854,618,0,11032,10751,1043,7936,6201,8154,44.35
0606523,16602,29737,922,2877,1935,6,12486,7416,2444,6715,6620,3963,35.83
0606524,23559,34365,738,2867,3869,10,16659,10517,3665,10868,8950,5421,40.67
0606525,27310,18304,1241,2234,3575,54,19367,13917,4215,14163,13107,7218,59.87
0606701,20587,23704,1323,1796,3271,199,16046,4323,1667,8566,8822,2811,46.48
0606703,17833,29975,872,1658,2024,0,13595,4913,2541,6933,6367,3612,37.3
0606704,30694,20020,2641,5897,7531,0,17621,9170,2563,9742,11187,9129,60.52
0606705,20897,28154,794,4553,4862,0,10611,7214,2144,9196,6665,7000,42.6
0606706,21114,17062,2202,2940,3697,129,13729,6956,1473,8051,8450,5702,55.31
0606707,22294,38770,1680,3388,2907,0,15781,6887,2102,8955,8399,2830,36.51
0606709,27214,23828,1280,8722,7070,146,8984,7807,2603,12979,11452,11040,53.32
0606712,10313,33582,470,1948,1152,0,8193,1824,1176,5448,3177,1025,23.49
0606713,15767,22607,1505,3125,2413,255,11246,4239,2036,4894,5078,3837,41.09
0606714,29837,20036,2316,7558,6195,0,13856,10818,3365,13600,13922,10620,59.83
0606715,11744,20555,528,5048,2064,206,5414,2643,1124,5436,4417,4203,36.36
0606716,12705,20054,708,4752,1767,130,6679,3604,1674,6458,5280,4763,38.78
0606717,14071,18427,1073,3845,1668,62,8685,4751,2240,6955,6072,5022,43.3
0607101,30671,21107,1973,1906,4075,406,25045,10882,5699,12584,14190,2538,59.24
0607102,34694,16706,2013,2645,8203,0,21899,22164,4136,12267,16606,11283,67.5
0607103,31112,27350,2124,1217,3628,0,23700,19328,4158,11736,12969,10334,53.22
0607104,21965,20838,1775,1418,1586,0,18715,9178,3470,10047,9569,3394,51.32
0607105,20735,30264,1494,1333,1402,4,15571,10443,2693,8815,8720,3934,40.66
0607107,20061,12858,1596,1048,3824,64,9440,12748,1215,8128,9085,7124,60.94
0607108,34361,13902,1644,1441,6212,2,12671,25728,1562,12277,10325,14555,71.2
0607110,20970,10153,1094,722,2411,41,5734,17001,338,6817,4394,10426,67.38
0607111,23167,34343,1486,4021,4123,2,14591,10735,2417,10286,7070,6186,40.28
