county,CountyName,rural,Num Eligible,Num Ineligible,Percentage Eligible
06055,Napa CA,0.0,18750,30661,37.95
06057,Nevada CA,1.0,17282,24898,40.97
06059,Orange CA,0.0,424951,651620,39.47
06061,Placer CA,0.0,50124,105802,32.15
06063,Plumas CA,1.0,3776,3627,51.01
06065,Riverside CA,0.0,372736,393131,48.67
06067,Sacramento CA,0.0,255147,316806,44.61
06069,San Benito CA,0.0,8148,9061,47.35
06071,San Bernardino CA,0.0,360711,315089,53.38
06073,San Diego CA,0.0,450291,712607,38.72
06075,San Francisco CA,0.0,125038,226254,35.59
06077,San Joaquin CA,0.0,122287,119482,50.58
06079,San Luis Obispo CA,0.0,42388,65183,39.4
06081,San Mateo CA,0.0,76307,187357,28.94
06083,Santa Barbara CA,0.0,68661,81891,45.61
06085,Santa Clara CA,0.0,202586,447902,31.14
06087,Santa Cruz CA,0.0,38046,59308,39.08
06089,Shasta CA,0.0,33977,37528,47.52
06091,Sierra CA,1.0,546,787,40.96
06093,Siskiyou CA,1.0,8416,8099,50.96
06095,Solano CA,0.0,65890,92301,41.65
06097,Sonoma CA,0.0,68724,121860,36.06
06099,Stanislaus CA,0.0,87599,86605,50.29
06101,Sutter CA,0.0,19114,14761,56.43
06103,Tehama CA,1.0,12723,9520,57.2
06105,Trinity CA,1.0,3110,2333,57.14
06107,Tulare CA,0.0,88411,55130,61.59
06109,Tuolumne CA,1.0,10332,13291,43.74
06111,Ventura CA,0.0,105240,174020,37.69
06113,Yolo CA,0.0,35409,41435,46.08
06115,Yuba CA,0.0,15654,12088,56.43
08001,Adams CO,0.0,74824,108429,40.83
08003,Alamosa CO,1.0,3719,3351,52.6
08005,Arapahoe CO,0.0,83044,162798,33.78
08007,Archuleta CO,1.0,2512,3324,43.04
08009,Baca CO,1.0,781,710,52.38
08011,Bent CO,1.0,1266,1142,52.57
08013,Boulder CO,0.0,40531,93158,30.32
08014,Broomfield CO,0.0,6462,23312,21.7
08015,Chaffee CO,1.0,3261,4317,43.03
08017,Cheyenne CO,1.0,221,340,39.39
08019,Clear Creek CO,1.0,889,2996,22.88
08021,Conejos CO,1.0,1693,1517,52.74
08023,Costilla CO,1.0,777,704,52.46
08025,Crowley CO,1.0,915,1330,40.76
08027,Custer CO,1.0,746,1018,42.29
08029,Delta CO,1.0,6717,6136,52.26
08031,Denver CO,0.0,122709,207268,37.19
08033,Dolores CO,1.0,418,572,42.22
08035,Douglas CO,0.0,24275,111768,17.84
08037,Eagle CO,1.0,5882,14484,28.88
08039,Elbert CO,1.0,4050,5838,40.96
08041,El Paso CO,0.0,101252,184977,35.37
08043,Fremont CO,1.0,8402,10954,43.41
08045,Garfield CO,1.0,9672,15303,38.73
08047,Gilpin CO,1.0,541,1853,22.6
08049,Grand CO,1.0,1657,4077,28.9
08051,Gunnison CO,1.0,3174,4216,42.95
08053,Hinsdale CO,1.0,125,178,41.25
08055,Huerfano CO,1.0,1096,1483,42.5
08057,Jackson CO,1.0,144,361,28.51
08059,Jefferson CO,0.0,73306,168559,30.31
08061,Kiowa CO,1.0,169,274,38.15
08063,Kit Carson CO,1.0,1102,1591,40.92
08065,Lake CO,1.0,1199,1616,42.59
08067,La Plata CO,1.0,10429,13859,42.94
08069,Larimer CO,0.0,50026,102096,32.89
08071,Las Animas CO,1.0,3312,2982,52.62
08073,Lincoln CO,1.0,883,1285,40.73
08075,Logan CO,1.0,3329,4817,40.87
08077,Mesa CO,0.0,27781,36391,43.29
08079,Mineral CO,1.0,161,153,51.27
08081,Moffat CO,1.0,2081,3297,38.69
08083,Montezuma CO,1.0,4833,6440,42.87
08085,Montrose CO,1.0,9191,8400,52.25
08087,Morgan CO,1.0,4513,6527,40.88
08089,Otero CO,1.0,4246,3838,52.52
08091,Ouray CO,1.0,1050,960,52.24
08093,Park CO,1.0,2904,3844,43.03
08095,Phillips CO,1.0,679,998,40.49
08097,Pitkin CO,1.0,1831,4509,28.88
08099,Prowers CO,1.0,2708,2458,52.42
08101,Pueblo CO,0.0,37257,31371,54.29
08103,Rio Blanco CO,1.0,1027,1627,38.7
08105,Rio Grande CO,1.0,2607,2355,52.54
08107,Routt CO,1.0,3895,6159,38.74
08109,Saguache CO,1.0,1427,1295,52.42
08111,San Juan CO,1.0,108,156,40.91
08113,San Miguel CO,1.0,1741,1590,52.27
08115,Sedgwick CO,1.0,330,504,39.57
08117,Summit CO,1.0,3279,8070,28.89
08119,Teller CO,1.0,3362,5242,39.07
08121,Washington CO,1.0,725,1061,40.59
08123,Weld CO,0.0,48793,72784,40.13
08125,Yuma CO,1.0,1559,2245,40.98
09001,Fairfield CT,0.0,132042,226226,36.86
09003,Hartford CT,0.0,145343,213664,40.48
09005,Litchfield CT,0.0,26354,48786,35.07
09007,Middlesex CT,0.0,20473,49335,29.33
09009,New Haven CT,0.0,153459,196661,43.83
09011,New London CT,0.0,45528,65312,41.08
09013,Tolland CT,0.0,23761,35476,40.11
09015,Windham CT,0.0,21599,24182,47.18
10001,Kent DE,0.0,31057,39197,44.21
