puma22,Num Eligible,Num Ineligible,Percentage Eligible
0606716,12705,20054,38.78
0606717,14071,18427,43.3
0607101,30671,21107,59.24
0607102,34694,16706,67.5
0607103,31112,27350,53.22
0607104,21965,20838,51.32
0607105,20735,30264,40.66
0607107,20061,12858,60.94
0607108,34361,13902,71.2
0607110,20970,10153,67.38
0607111,23167,34343,40.28
0607112,19710,19066,50.83
0607115,13538,19058,41.53
0607116,20748,16561,55.61
0607117,18068,13593,57.07
0607118,30669,27104,53.09
0607119,19951,32015,38.39
0607301,26028,36458,41.65
0607302,13377,28519,31.93
0607306,24611,21150,53.78
0607307,15936,22872,41.06
0607308,11372,36758,23.63
0607310,19865,52326,27.52
0607311,8501,31607,21.2
0607312,14904,26901,35.65
0607313,31001,32099,49.13
0607314,20883,43276,32.55
0607315,20051,46060,30.33
0607316,33386,57066,36.91
0607317,30864,28520,51.97
0607322,19906,20097,49.76
0607323,13902,20526,40.38
0607324,13678,40886,25.07
0607325,18525,28341,39.53
0607326,13804,49799,21.7
0607327,25113,16398,60.5
0607328,18767,23387,44.52
0607329,19808,29743,39.97
0607330,35773,19688,64.5
0607507,19214,12648,60.3
0607508,13259,30274,30.46
0607509,18306,33880,35.08
0607510,19917,26708,42.72
0607511,14655,42512,25.64
0607512,13245,26396,33.41
0607513,12947,21451,37.64
0607514,13475,32376,29.39
0607705,32852,31285,51.22
0607706,33962,15775,68.28
0607707,14310,22388,38.99
0607708,27462,28627,48.96
0607709,13679,21397,39.0
0607901,26901,40707,39.79
0607902,15489,24478,38.75
0608101,18220,28238,39.22
0608102,14154,28881,32.89
0608103,12136,29248,29.33
0608104,10828,35064,23.59
0608105,11270,39442,22.22
0608106,9585,26391,26.64
0608301,22558,17442,56.4
0608302,17944,18350,49.44
0608303,28159,46099,37.92
0608505,12961,14925,46.48
0608506,15327,25141,37.87
0608507,10634,41363,20.45
0608508,15043,35663,29.67
0608510,22018,33036,39.99
0608511,10678,28521,27.24
0608512,8308,29747,21.83
0608515,6985,28980,19.42
0608516,14659,47428,23.61
0608517,12731,37050,25.57
0608518,11785,20467,36.54
0608519,20323,39210,34.14
0608520,14974,17781,45.72
0608521,18238,15911,53.41
0608522,7842,32607,19.39
0608701,20628,28784,41.75
0608702,17417,30525,36.33
0608900,33977,37528,47.52
0609501,25244,31033,44.86
0609502,23825,26323,47.51
0609503,16799,34944,32.47
0609702,16801,31612,34.7
0609704,15578,34739,30.96
0609705,15954,21796,42.26
0609706,20384,33714,37.68
0609901,17390,16540,51.25
0609902,22138,17006,56.56
0609903,27586,33908,44.86
0609904,20443,19130,51.66
