zcta,Num Eligible,Num Ineligible,Percentage Eligible
02144,4772,5663,45.73
02145,5151,6114,45.73
02148,12404,14770,45.65
02149,9187,10905,45.72
02150,8862,5587,61.33
02151,13546,8539,61.34
02152,4205,2651,61.33
02155,11508,13702,45.65
02163,219,237,48.03
02169,10478,13945,42.9
02170,3365,4480,42.89
02171,3293,4383,42.9
02176,4132,7937,34.24
02180,3222,6189,34.24
02184,5304,10623,33.3
02186,3410,7564,31.07
02188,2050,4106,33.3
02189,2050,4106,33.3
02190,2562,5131,33.3
02191,1121,2245,33.3
02199,295,447,39.76
02205,3,5,37.5
02210,976,1423,40.68
02215,4277,4572,48.33
02301,14916,10291,59.17
02302,7779,5367,59.17
02322,818,1010,44.75
02324,2929,6465,31.18
02325,346,763,31.2
02330,1468,3119,32.0
02332,1895,4458,29.83
02333,1641,3622,31.18
02338,883,1950,31.17
02339,1693,3736,31.18
02341,1184,2612,31.19
02343,1947,2404,44.75
02346,3056,6494,32.0
02347,1453,3087,32.0
02350,30,67,30.93
02351,1952,4301,31.22
02356,2001,2930,40.58
02357,299,438,40.57
02359,2163,5087,29.83
02360,7704,16371,32.0
02364,1564,3452,31.18
02366,11,24,31.43
02367,335,739,31.19
02368,4746,9503,33.31
02370,2097,4933,29.83
02375,1626,2380,40.59
02379,877,1937,31.17
02382,1725,3806,31.19
02420,1397,4485,23.75
02421,1708,5484,23.75
02445,2688,5930,31.19
02446,3803,8439,31.07
02451,1496,5253,22.17
02452,1278,4486,22.17
02453,2655,9320,22.17
02457,115,431,21.06
02458,1069,3751,22.18
02459,1585,5564,22.17
02460,767,2692,22.17
02461,619,2173,22.17
02462,131,460,22.17
02464,266,933,22.19
02465,1034,3630,22.17
02466,703,2466,22.18
02467,2549,5970,29.92
02468,477,1673,22.19
02472,3764,10746,25.94
02474,3038,8671,25.95
02476,1889,5392,25.94
02478,2904,8287,25.95
02481,1269,4769,21.02
02482,786,2955,21.01
02492,1568,5895,21.01
02493,1068,3428,23.75
02494,788,2962,21.01
02532,2055,3895,34.54
02534,143,267,34.88
02535,250,484,34.06
02536,3161,5888,34.93
02537,976,1818,34.93
02538,558,1185,32.01
02539,786,1518,34.11
02540,1336,2489,34.93
02542,126,234,35.0
02543,119,221,35.0
02553,26,48,35.14
02554,2054,3969,34.1
02556,527,982,34.92
02557,360,696,34.09
02558,275,585,31.98
02559,536,998,34.94
02561,113,210,34.98
02562,508,946,34.94
02563,1592,2966,34.93
02564,108,208,34.18
02568,1242,2399,34.11
02571,1368,2907,32.0
02575,481,930,34.09
02576,499,1061,31.99
02584,6,11,35.29
02601,2608,4857,34.94
02630,310,578,34.91
02631,1548,2990,34.11
02632,1814,3378,34.94
02633,709,1369,34.12
02635,575,1071,34.93
02637,41,77,34.75
02638,451,870,34.14
02639,493,952,34.12
02641,50,97,34.01
02642,874,1689,34.1
02643,2,4,33.33
02644,625,1164,34.94
02645,1587,3065,34.11
02646,293,565,34.15
02647,22,40,35.48
02648,1159,2158,34.94
02649,2382,4437,34.93
02650,125,242,34.06
02652,214,413,34.13
02653,959,1852,34.12
02655,568,1059,34.91
02657,556,1075,34.09
02659,168,324,34.15
02660,1013,1956,34.12
02663,39,74,34.51
02664,1510,2916,34.12
02666,160,309,34.12
02667,503,971,34.12
02668,510,950,34.93
02670,223,431,34.1
02671,185,357,34.13
02672,48,89,35.04
02673,1352,2611,34.12
02675,1023,1973,34.15
02702,999,802,55.47
02703,6557,11300,36.72
02713,6,11,35.29
02715,632,925,40.59
02717,1160,931,55.48
02718,1080,1581,40.59
02719,3719,2915,56.06
02720,7306,5864,55.47
02721,6574,5276,55.48
02723,3766,3023,55.47
02724,4227,3392,55.48
02725,615,494,55.46
02726,3670,2946,55.47
02738,674,1433,31.99
02739,820,1742,32.01
02740,10548,8267,56.06
02743,2444,1961,55.48
02744,3048,2389,56.06
02745,5916,4637,56.06
02746,4051,3175,56.06
02747,5211,4085,56.06
02748,2775,2175,56.06
02760,4059,6995,36.72
02762,918,2718,25.25
02763,299,516,36.69
02764,640,937,40.58
02766,3011,4409,40.58
02767,2411,3530,40.58
02769,1769,3049,36.72
02770,701,1489,32.01
02771,2193,3780,36.72
02777,2422,4173,36.72
02779,1060,1552,40.58
02780,8202,12008,40.58
02790,3843,3013,56.05
02791,74,58,56.06
02802,146,172,45.91
02804,381,776,32.93
02806,2669,4692,36.26
02807,194,395,32.94
02808,320,653,32.89
02809,3502,6155,36.26
02812,167,341,32.87
02813,1099,2241,32.9
02814,1345,1584,45.92
02815,44,52,45.83
02816,5624,8697,39.27
02817,1105,1709,39.27
02818,3372,5218,39.25
02822,816,1664,32.9
02823,28,34,45.16
02824,73,86,45.91
02825,939,1106,45.92
02826,146,172,45.91
02827,378,585,39.25
02828,1333,1571,45.9
02829,22,26,45.83
02830,1155,1360,45.92
02831,683,832,45.08
02832,669,1363,32.92
02833,64,131,32.82
02835,864,1519,36.26
02836,21,44,32.31
02837,563,989,36.28
02838,679,799,45.94
02839,333,392,45.93
02840,3721,6539,36.27
02841,189,332,36.28
02842,2663,4680,36.27
02852,3230,6584,32.91
02857,1488,1752,45.93
02858,105,123,46.05
02859,1196,1408,45.93
02860,8463,10361,44.96
02861,4915,6024,44.93
02863,3993,4890,44.95
02864,6488,7638,45.93
02865,3192,3758,45.93
02871,2746,4826,36.27
02872,36,63,36.36
02873,36,73,33.03
02874,841,1715,32.9
02875,48,98,32.88
02876,133,157,45.86
02878,2546,4475,36.26
02879,2874,5859,32.91
02881,1156,2357,32.91
02882,1770,3608,32.91
02885,1735,3049,36.27
02886,4974,7695,39.26
02888,3315,5128,39.26
02889,4789,7409,39.26
02891,2986,6088,32.91
02892,742,1512,32.92
02893,5253,8128,39.26
02894,112,228,32.94
02895,7719,9088,45.93
02896,1989,2342,45.92
02898,258,526,32.91
02903,2725,2050,57.07
02904,5889,6246,48.53
02905,5082,4837,51.24
02906,5250,3949,57.07
02907,6120,4616,57.0
02908,7899,5967,56.97
02909,9459,7141,56.98
02910,3814,4999,43.28
02911,2875,3674,43.9
02912,972,731,57.08
02914,3911,4789,44.95
02915,2933,3591,44.96
02916,1477,1808,44.96
02917,2630,3096,45.93
02918,643,484,57.05
02919,5118,6743,43.15
02920,6562,8654,43.13
02921,2153,2840,43.12
03031,1203,3471,25.74
03032,521,1660,23.89
03033,607,1640,27.01
03034,357,1138,23.88
03036,462,1472,23.89
03037,422,1345,23.88
03038,3030,9656,23.88
03042,729,2267,24.33
03043,214,393,35.26
03044,483,1504,24.31
03045,1239,3950,23.88
03046,434,725,37.45
03047,228,420,35.19
03048,409,880,31.73
03049,898,2428,27.0
03051,2597,7495,25.73
03052,867,2503,25.73
03053,2253,7181,23.88
03054,2723,7859,25.73
03055,1648,4757,25.73
03057,267,771,25.72
03060,3364,9090,27.01
03062,3117,8423,27.01
03063,1726,4662,27.02
03064,1622,4381,27.02
03070,541,1720,23.93
03071,688,1264,35.25
03076,1455,4198,25.74
03077,1090,3394,24.31
03079,3072,9564,24.31
03082,174,470,27.02
03084,183,337,35.19
03086,428,1156,27.02
03087,1390,4430,23.88
03101,586,1028,36.31
03102,4756,8908,34.81
03103,5739,10066,36.31
03104,5172,9083,36.28
03106,1300,4143,23.88
03109,1597,2800,36.32
03110,2048,6528,23.88
03215,75,127,37.13
03216,356,606,37.01
03217,284,480,37.17
03218,172,292,37.07
03220,1130,1924,37.0
03221,333,557,37.42
03222,842,1425,37.14
03223,500,846,37.15
03224,342,572,37.42
03225,584,993,37.03
03226,176,299,37.05
03227,170,289,37.04
03229,854,1428,37.42
03230,193,328,37.04
03231,12,21,36.36
03233,17,28,37.78
03234,696,1163,37.44
03235,1358,2311,37.01
03237,381,648,37.03
03238,7,12,36.84
03240,204,345,37.16
03241,141,238,37.2
03242,893,1493,37.43
03243,165,280,37.08
03244,1059,1946,35.24
03245,296,501,37.14
03246,2594,4414,37.01
03249,1182,2012,37.01
03251,240,406,37.15
03253,1006,1712,37.01
03254,754,1282,37.03
03255,311,520,37.42
03256,364,620,36.99
03257,653,1091,37.44
03258,379,634,37.41
03259,35,60,36.84
03260,116,193,37.54
03261,555,1316,29.66
03262,199,337,37.13
03263,590,987,37.41
03264,1034,1749,37.15
03266,308,521,37.15
03268,190,324,36.96
03269,464,789,37.03
03273,37,63,37.0
03275,1724,2884,37.41
03276,1346,2290,37.02
03278,452,757,37.39
03279,114,193,37.13
03280,176,299,37.05
03281,798,2544,23.88
03282,124,209,37.24
03284,133,226,37.05
03285,398,673,37.16
03287,215,366,37.01
03290,608,1444,29.63
03291,9,21,30.0
03293,10,16,38.46
03301,4814,8051,37.42
03303,2384,3987,37.42
03304,1187,1985,37.42
03307,808,1351,37.42
03431,3307,6078,35.24
03440,361,664,35.22
03441,46,85,35.11
03442,199,366,35.22
03443,81,149,35.22
03444,199,366,35.22
03445,88,162,35.2
03446,841,1546,35.23
03447,311,571,35.26
03448,100,183,35.34
03449,234,430,35.24
03450,129,236,35.34
03451,523,961,35.24
03452,705,1296,35.23
03455,282,518,35.25
03456,100,183,35.34
03457,107,197,35.2
03458,900,1654,35.24
03461,858,1577,35.24
