county,Num Eligible,Num Ineligible,Percentage Eligible
48497,11753,14150,45.37
48499,8237,9495,46.45
48501,1455,1264,53.51
48503,3060,3685,45.37
48505,2927,1227,70.46
48507,1977,1232,61.61
49001,957,1415,40.35
49003,5709,13254,30.11
49005,13964,29440,32.17
49007,3333,4340,43.44
49009,152,198,43.43
49011,29697,84081,26.1
49013,3200,4167,43.44
49015,1605,2089,43.45
49017,687,1016,40.34
49019,1579,2055,43.45
49021,7756,11462,40.36
49023,1596,2359,40.35
49025,1037,1533,40.35
49027,1757,2596,40.36
49029,1289,2718,32.17
49031,194,287,40.33
49033,263,555,32.15
49035,132353,287974,31.49
49037,2372,3088,43.44
49039,3850,5690,40.36
49041,2914,4307,40.35
49043,4443,9367,32.17
49045,7199,16712,30.11
49047,5817,7573,43.44
49049,62211,132010,32.03
49051,5681,7397,43.44
49053,24600,43652,36.04
49055,337,499,40.31
49057,34768,58340,37.34
50001,6966,8972,43.71
50003,6687,8757,43.3
50005,5673,7372,43.49
50007,29260,40291,42.07
50009,1110,1442,43.5
50011,9374,12182,43.49
50013,1369,1779,43.49
50015,4869,6327,43.49
50017,5457,7029,43.7
50019,5141,6681,43.49
50021,10844,14202,43.3
50023,11150,14362,43.7
50025,8217,10761,43.3
50027,10339,13540,43.3
51001,5880,8319,41.41
51003,14749,29756,33.14
51005,2324,4092,36.22
51007,2600,2401,51.99
51009,4950,8340,37.25
51011,2548,4293,37.25
51013,19155,89456,17.64
51015,13565,17433,43.76
51017,737,948,43.74
51019,12564,21169,37.25
51021,1414,1224,53.6
51023,5128,9028,36.22
51025,3107,2869,51.99
51027,4625,3282,58.49
51029,3298,3046,51.99
51031,8898,11756,43.08
51033,3625,7849,31.59
51035,6570,5687,53.6
51036,666,1954,25.42
51037,2259,2086,51.99
51041,40929,94388,30.25
51043,1941,3785,33.9
51045,746,1313,36.23
51047,5991,13810,30.26
51049,1897,1752,51.99
51051,3210,2278,58.49
51053,5261,4904,51.76
51057,1865,2638,41.42
51059,87265,324056,21.22
51061,8319,19176,30.26
51063,2447,3822,39.03
51065,3447,7670,31.01
51067,8312,14634,36.22
51069,11998,23400,33.89
51071,2654,4145,39.04
51073,6812,9638,41.41
51075,2438,7146,25.44
51077,3456,2991,53.61
51079,2752,5246,34.41
51081,2144,1998,51.76
51083,6671,6160,51.99
51085,10829,31765,25.42
51087,45864,91140,33.48
51089,11464,9946,53.55
51091,389,500,43.76
51093,5628,9680,36.77
51095,7077,22263,24.12
51097,1164,1647,41.41
51099,3136,6790,31.59
51101,1751,5141,25.41
51103,1922,2719,41.41
51105,5035,3574,58.49
51107,24826,118551,17.32
51109,4756,10581,31.01
51111,2341,2161,52.0
51113,1577,3635,30.26
51115,1501,2123,41.42
51117,5944,5489,51.99
51119,1871,2647,41.41
51121,15768,24629,39.03
51125,1870,4160,31.01
51127,2256,6623,25.41
51131,2162,3059,41.41
51133,2084,2949,41.41
51135,3068,2833,51.99
51137,4133,9525,30.26
51139,3792,5476,40.91
51141,3962,3437,53.55
51143,13614,11811,53.55
51145,2991,8767,25.44
51147,4284,3956,51.99
51149,8096,7547,51.75
51153,46504,107660,30.17
51155,5345,8349,39.03
51157,839,1933,30.27
51159,1570,2221,41.41
51161,15224,25550,37.34
51163,3964,5095,43.76
51165,12160,19100,38.9
51167,5855,4156,58.49
51169,4901,3478,58.49
51171,7066,10205,40.91
51173,6718,5815,53.6
51175,2624,4513,36.77
51177,16434,35580,31.6
51179,13330,39563,25.2
51181,1235,1151,51.76
51183,2039,1900,51.76
51185,9182,6517,58.49
51187,6512,9404,40.91
51191,12160,10525,53.6
51193,3251,4600,41.41
51195,8207,5825,58.49
51197,6377,5519,53.61
51199,6335,19928,24.12
51510,18441,53926,25.48
51520,3881,3359,53.6
51530,1162,1493,43.77
51540,6232,11881,34.41
51550,31139,62947,33.1
51570,3422,3190,51.75
51580,876,1542,36.23
51590,9586,8316,53.55
51595,1085,1012,51.74
51600,1492,6537,18.58
51610,829,4496,15.57
51620,1192,2051,36.76
51630,2376,7053,25.2
51640,1515,1312,53.59
51650,26587,31038,46.14
51660,7522,11816,38.9
51670,4335,4041,51.76
51678,1280,1645,43.76
51680,12620,16674,43.08
51683,4865,8715,35.82
51685,1959,3510,35.82
51690,3033,2631,53.55
51700,35981,43196,45.44
51710,43212,52709,45.05
51720,837,594,58.49
51730,6299,5871,51.76
51735,1126,3543,24.12
51740,19823,22308,47.05
51750,2542,3970,39.04
51760,46723,54182,46.3
51770,20637,20779,49.83
51775,5230,5266,49.83
51790,4507,5792,43.76
51800,13753,23654,36.77
51810,55372,127542,30.27
51820,3885,4992,43.76
51830,1396,4391,24.12
51840,3690,7196,33.9
53001,3527,4197,45.66
53003,3814,4538,45.67
53005,31170,43069,41.99
53007,15196,15649,49.27
53009,15605,20273,43.49
53011,76846,116978,39.65
53013,676,805,45.64
53015,21037,23731,46.99
53017,8251,8497,49.27
53019,1449,1395,50.95
53021,14545,19758,42.4
53023,392,466,45.69
53025,20897,17335,54.66
53027,14601,15034,49.27
53029,14234,21578,39.75
53031,6669,8664,43.49
53033,286589,638341,30.98
53035,36679,69842,34.43
53037,9349,7756,54.66
53039,4321,4995,46.38
53041,15617,18054,46.38
53043,1861,2214,45.67
53045,12686,13061,49.27
53047,8498,8177,50.96
53049,4440,5008,46.99
53051,2705,2603,50.96
53053,130599,216779,37.6
53055,2916,4419,39.75
53057,21231,32178,39.75
53059,2287,2644,46.38
53061,96579,215750,30.92
53063,97133,120778,44.57
53065,9374,9021,50.96
53067,42554,74703,36.29
53069,839,947,46.98
53071,8601,11974,41.8
53073,36609,55648,39.68
53075,8210,9769,45.66
53077,50827,36221,58.39
54001,3010,3145,48.9
54003,19332,29015,39.99
54005,5111,3043,62.68
54007,2567,2245,53.35
54009,4894,4702,51.0
54011,20992,17918,53.95
54013,1283,1122,53.35
54015,1661,1452,53.36
54017,1562,1612,49.21
54019,9034,7429,54.87
54021,1528,1336,53.35
54023,1950,2387,44.96
54025,7241,6109,54.24
54027,4102,5021,44.96
54029,6314,6067,51.0
54031,2539,3108,44.96
54033,12824,13401,48.9
54035,5731,5011,53.35
54037,9139,13717,39.99
54039,36384,40340,47.42
54041,3315,3464,48.9
54043,4794,2854,62.68
54045,7633,4544,62.68
54047,4478,2665,62.69
54049,9549,12978,42.39
54051,6639,6379,51.0
54053,5663,4834,53.95
54055,13104,11055,54.24
54057,4784,5856,44.96
54059,5524,3288,62.69
54061,17977,24433,42.39
54063,2718,2293,54.24
54065,3030,3709,44.96
54067,5074,4437,53.35
54069,9206,8846,51.0
54071,1092,1336,44.98
54073,1532,1581,49.21
54075,1729,1459,54.23
54077,5815,7903,42.39
54079,12782,10910,53.95
54081,16645,13688,54.87
54083,5435,5679,48.9
54085,1690,1744,49.21
54087,2892,2529,53.35
54089,2627,2216,54.24
54091,3250,3396,48.9
54093,1200,1469,44.96
54095,1666,1718,49.23
54097,4633,4841,48.9
54099,9134,5438,62.68
54101,1840,1552,54.25
54103,2892,2984,49.22
54105,1039,1072,49.22
54107,16876,17412,49.22
54109,5011,2983,62.68
55001,3457,5489,38.64
55003,3031,4161,42.14
55005,7815,11062,41.4
55007,3069,4213,42.15
