sduni20,Num Eligible,Num Ineligible,Percentage Eligible
0508130,3610,2936,55.15
0508240,1215,968,55.66
0508280,7968,6403,55.44
0508340,657,502,56.69
0508400,1460,1233,54.21
0508490,537,471,53.27
0508610,5833,5114,53.28
0508640,1478,1204,55.11
0508670,4139,3628,53.29
0508700,1665,1121,59.76
0508730,1082,871,55.4
0508940,1167,1362,46.14
0509000,34223,44054,43.72
0509060,1687,1958,46.28
0509150,572,411,58.19
0509190,664,582,53.29
0509240,3901,3408,53.37
0509270,685,473,59.15
0509330,1188,924,56.25
0509360,2017,1170,63.29
0509390,5087,2951,63.29
0509420,694,557,55.48
0509480,1487,1202,55.3
0509510,704,412,63.08
0509540,1074,1246,46.29
0509570,703,580,54.79
0509600,633,535,54.2
0509630,1225,998,55.11
0509720,1206,804,60.0
0509750,2916,2095,58.19
0509780,759,554,57.81
0509840,2080,1694,55.11
0509990,825,723,53.29
0510080,588,636,48.04
0510170,899,789,53.26
0510200,2873,1920,59.94
0510260,979,788,55.4
0510290,840,676,55.41
0510320,1011,887,53.27
0510380,2110,1530,57.97
0510410,524,353,59.75
0510440,6162,4951,55.45
0510560,884,719,55.15
0510680,10952,12041,47.63
0510920,638,519,55.14
0510950,1638,950,63.29
0510980,392,344,53.26
0511010,2238,1800,55.42
0511070,706,557,55.9
0511130,1542,1107,58.21
0511220,601,459,56.7
0511340,823,1163,41.44
0511370,1153,952,54.77
0511610,2592,2139,54.79
0511700,1561,1051,59.76
0511730,216,268,44.63
0511760,2237,2611,46.14
0511820,1079,825,56.67
0511850,26379,29985,46.8
0511880,1106,871,55.94
0511970,12678,24126,34.45
0512000,932,743,55.64
0512060,8985,6048,59.77
0512090,1140,759,60.03
0512180,519,373,58.18
0512210,6769,5714,54.23
0512420,967,644,60.02
0512450,3209,5949,35.04
0512480,841,694,54.79
0512510,1338,1022,56.69
0512520,3640,2450,59.77
0512540,1314,875,60.03
0512570,720,525,57.83
0512630,317,242,56.71
0512660,18558,23047,44.61
0512930,562,429,56.71
0512960,1890,1539,55.12
0513080,4327,3570,54.79
0513110,7405,5319,58.2
0513230,857,723,54.24
0513350,1080,878,55.16
0513380,2667,2144,55.44
0513410,7265,5850,55.39
0513530,2895,3361,46.28
0513560,750,519,59.1
0513680,1912,1374,58.19
0513930,2952,2405,55.11
0514010,953,1112,46.15
0514020,845,568,59.8
0514040,1025,682,60.05
0514140,2803,2283,55.11
0514370,655,441,59.76
0514400,516,420,55.13
0514430,3187,1850,63.27
0514490,1428,1161,55.16
0600001,1269,2404,34.55
0600009,172,185,48.18
0600011,548,527,50.98
0600013,7726,18098,29.92
0600014,18691,16048,53.8
0600015,1253,1025,55.0
0600016,12079,11663,50.88
0600017,14502,12694,53.32
0600018,1190,891,57.18
0600019,5657,19548,22.44
0600020,6264,21645,22.44
0600021,75,257,22.59
0600022,2822,1067,72.56
0600025,2673,11038,19.5
0600026,1340,887,60.17
0600027,19745,24607,44.52
0600028,19341,33583,36.54
0600029,14320,20956,40.59
0600031,40,44,47.62
0600032,5395,22267,19.5
0600033,2245,1049,68.15
0600034,3594,8016,30.96
0600035,2137,1035,67.37
0600036,14705,19812,42.6
0600037,639,476,57.31
0600038,174,130,57.24
0600039,2538,1210,67.72
0600040,1243,501,71.27
0600042,233,497,31.92
0600043,2495,3483,41.74
0600044,1845,4116,30.95
0600045,2730,2044,57.18
0600046,1183,1318,47.3
0600047,9450,14651,39.21
0600048,5728,9053,38.75
0600049,1048,1586,39.79
0600051,2102,2153,49.4
0600052,7903,5882,57.33
0600060,1566,1921,44.91
0600061,2382,2929,44.85
0600062,4668,5739,44.85
0600063,1519,1868,44.85
0600064,9766,5911,62.3
0600065,5267,2550,67.38
0600067,1050,397,72.56
0600068,2034,1460,58.21
0600069,3025,6092,33.18
0600116,754,541,58.22
0600153,19383,20561,48.53
0600158,10962,13375,45.04
0600159,967,930,50.98
0600160,1716,1232,58.21
0601331,821,615,57.17
0601332,34527,30096,53.43
0601339,511,382,57.22
0601409,2290,2947,43.73
0601410,2931,4582,39.01
0601414,11427,18707,37.92
0601415,1995,813,71.05
0601418,1874,907,67.39
0601421,3946,5365,42.38
