sduni20,Num Eligible,Num Ineligible,American Indian and Alaska Native Eligible,Asian Eligible,Black or African American Eligible,Native Hawaiian Eligible,White Eligible,Hispanic or Latino Eligible,Veteran Eligible,Elderly Eligible,DIS Eligible,English less than very well Eligible,Percentage Eligible
1930240,1815,2180,121,34,70,2,1696,170,213,857,783,75,45.43
1930480,13961,17503,609,785,2296,0,11668,892,1690,5330,4501,1141,44.37
1930510,7798,19908,106,384,1197,19,6664,581,510,2961,2650,672,28.15
1930540,2240,3752,73,40,75,0,2192,100,341,1034,839,86,37.38
1930560,695,896,14,3,28,0,688,29,74,345,270,15,43.68
1930630,1798,2754,19,44,75,2,1708,226,231,812,582,75,39.5
1930720,278,493,21,2,7,0,265,22,26,142,107,3,36.06
1930750,755,1098,37,9,32,0,702,72,85,363,329,28,40.74
1930780,570,630,22,3,55,0,518,32,45,243,237,5,47.5
1930870,251,426,9,4,8,0,247,8,39,116,96,10,37.08
1930900,1453,2353,23,11,110,0,1379,61,160,550,536,36,38.18
1930930,7529,19605,142,487,1501,0,6114,638,502,2683,2444,836,27.75
1930960,437,584,13,7,11,0,426,35,48,194,185,13,42.8
1930990,1080,1493,53,7,38,0,1017,100,134,546,492,28,41.97
1931020,657,1256,55,4,14,0,628,49,60,333,258,2,34.34
1931080,754,1103,56,4,34,1,704,110,89,312,236,84,40.6
1931110,741,939,33,52,27,0,684,112,94,337,284,31,44.11
1931290,585,1118,49,3,13,0,560,44,53,296,230,2,34.35
1931350,3550,5704,63,25,260,0,3369,158,393,1367,1325,87,38.36
1931470,535,726,37,10,70,0,452,116,50,162,247,81,42.43
1931620,198,250,9,14,7,0,182,30,25,90,76,8,44.2
1931680,1073,1573,81,5,49,2,1003,156,128,443,337,119,40.55
1931800,821,1131,41,5,28,0,774,76,103,417,375,21,42.06
1931830,352,390,13,2,34,0,320,20,28,150,147,3,47.44
1931860,1183,3020,16,58,182,3,1011,88,77,449,402,102,28.15
1931920,450,608,12,3,11,0,444,30,49,200,194,12,42.53
1931950,494,674,35,8,69,0,413,110,44,143,231,80,42.29
1932010,677,1624,15,45,99,1,568,52,43,247,221,61,29.42
1999017,708,1565,4,11,27,5,672,46,58,321,278,27,31.15
1999019,544,841,11,27,24,0,501,62,60,229,171,28,39.28
2000001,521,732,24,15,20,1,513,49,70,242,169,0,41.58
2000002,1039,1582,40,6,44,0,1015,97,87,528,483,10,39.64
2000003,1401,1722,63,90,187,0,1231,275,255,341,452,117,44.86
2000004,1057,1254,47,70,142,0,926,213,194,249,339,91,45.74
2000006,666,1501,37,10,73,5,616,51,99,291,238,19,30.73
2000007,492,669,20,6,8,2,475,43,43,221,203,22,42.38
2000012,442,620,20,13,17,1,435,42,60,205,143,0,41.62
2000013,87,119,4,1,1,0,84,8,8,39,36,4,42.23
2000014,514,586,45,4,26,1,497,39,47,222,247,18,46.73
2000015,2705,3089,237,19,135,8,2617,203,248,1171,1300,95,46.69
2000016,944,1324,44,28,36,2,929,90,127,438,306,1,41.62
2000017,932,1268,38,11,15,4,899,81,81,419,384,41,42.36
2000020,194,264,8,2,3,1,187,17,17,87,80,9,42.36
2000023,397,540,16,5,6,2,383,35,34,179,164,18,42.37
2000028,432,606,20,13,16,1,425,41,58,200,140,0,41.62
2000029,457,641,21,14,17,1,450,43,62,212,148,0,41.62
2000030,624,876,29,19,24,1,615,59,84,289,202,1,41.6
2000346,261,356,11,3,4,1,252,23,23,118,108,12,42.3
2000348,275,621,15,4,30,2,254,21,41,120,99,8,30.69
2000349,595,838,32,10,22,1,576,57,69,273,220,9,41.52
2000350,1095,1612,52,31,48,3,1073,103,149,506,358,4,40.45
2000351,394,888,22,6,43,3,364,30,59,172,141,11,30.73
2000353,704,988,33,21,27,1,693,67,95,326,228,1,41.61
2003180,1448,2032,67,43,55,3,1426,138,195,671,470,1,41.61
2003200,6608,8580,258,178,1264,17,5358,1211,723,2901,2678,400,43.51
2003210,619,646,46,20,33,1,592,79,58,245,277,35,48.93
2003240,429,966,24,6,47,3,397,33,63,188,154,12,30.75
2003270,149,203,6,2,2,1,144,13,13,67,61,7,42.33
2003300,1377,1572,121,10,69,4,1332,103,126,596,662,48,46.69
2003360,3483,7443,217,239,760,1,2651,431,349,1176,1299,266,31.88
2003390,765,1058,56,3,26,0,725,80,80,337,308,25,41.96
2003430,155,214,11,1,5,0,147,16,16,68,62,5,42.01
2003450,2656,3600,193,16,94,0,2515,282,276,1161,1077,92,42.46
2003480,734,839,64,5,37,2,710,55,67,318,353,26,46.66
2003510,146,221,14,12,10,0,108,68,4,54,56,55,39.78
2003540,1416,3192,78,20,154,10,1308,108,210,619,507,40,30.73
2003570,121,167,9,0,4,0,114,13,13,53,49,4,42.01
2003630,1483,3097,94,98,318,2,1136,194,148,500,566,118,32.38
2003720,1515,2117,84,133,155,0,1361,169,126,374,411,108,41.71
2003780,1847,3618,169,8,136,0,1757,168,230,791,859,74,33.8
2003810,815,930,71,6,41,2,788,61,75,353,392,29,46.7
2003870,799,1121,37,24,30,2,787,76,108,370,259,1,41.61
2003900,495,684,36,2,17,0,469,52,52,218,199,16,41.98
2003960,419,589,19,12,16,1,413,40,57,194,136,0,41.57
2004020,204,281,15,1,7,0,193,21,21,90,82,7,42.06
2004050,3228,2433,223,173,992,0,1851,1020,198,1126,1206,769,57.02
2004080,107,145,4,1,2,0,103,9,9,48,44,5,42.46
2004140,174,263,17,14,12,0,129,82,5,65,67,65,39.82
2004170,305,315,23,10,16,0,292,39,29,121,137,17,49.19
2004200,2137,3307,78,7,95,0,2085,199,160,1099,1040,25,39.25
2004230,346,358,26,11,18,0,330,45,32,137,155,19,49.15
2004260,195,439,11,3,21,1,180,15,29,85,70,6,30.76
2004290,829,855,62,27,44,1,793,107,78,328,372,47,49.23
2004350,174,348,7,7,17,0,167,27,14,78,68,13,33.33
2004380,232,321,17,1,8,0,220,24,24,102,93,8,41.95
2004410,748,772,56,24,40,1,715,96,70,296,336,42,49.21
2004440,427,658,16,1,19,0,416,40,32,220,208,5,39.35
2004470,424,586,19,9,12,1,413,39,48,194,155,9,41.98
2004500,151,156,11,5,8,0,145,19,14,60,68,9,49.19
2004560,479,672,22,14,18,1,472,45,64,222,156,0,41.62
2004590,1939,2215,170,13,97,5,1876,146,177,840,932,68,46.68
2004620,1023,1413,47,34,49,2,996,109,144,450,331,10,42.0
2004650,128,197,5,0,6,0,124,12,10,66,62,1,39.38
2004670,566,849,40,21,82,6,474,111,53,199,264,56,40.0
2004710,783,894,69,5,39,2,758,59,72,339,376,28,46.69
2004740,786,828,61,22,41,1,753,93,74,317,358,41,48.7
2004770,459,524,40,3,23,1,444,34,42,199,221,16,46.69
2004790,180,245,7,2,3,1,174,16,16,81,74,8,42.35
2004800,431,653,43,35,30,0,319,203,13,161,166,162,39.76
2004830,217,485,12,3,23,2,201,17,32,95,77,6,30.91
2004890,1361,1909,63,40,52,3,1340,130,184,631,441,1,41.62
2004920,914,1384,64,39,145,12,752,190,83,311,434,99,39.77
2004950,307,431,14,9,12,1,302,29,41,142,100,0,41.6
2004980,2424,2502,181,79,128,2,2318,313,227,959,1088,138,49.21
2005010,1220,1660,50,14,19,5,1177,107,106,549,503,54,42.36
2005040,283,391,20,1,10,0,267,30,29,125,114,10,41.99
2005070,1228,1402,108,9,61,3,1188,92,112,532,590,43,46.69
2005100,1154,1619,53,34,44,2,1136,110,156,535,374,1,41.62
2005130,388,544,28,3,20,1,362,46,40,167,160,16,41.63
2005190,103,156,10,8,7,0,76,48,3,38,40,38,39.77
2005250,521,538,39,17,28,0,498,67,49,206,234,30,49.2
2005280,917,1029,67,30,55,1,873,118,91,362,403,51,47.12
2005310,190,266,9,6,7,0,187,18,26,88,62,0,41.67
2005370,205,284,15,1,7,0,194,21,22,90,83,7,41.92
2005400,138,209,14,11,10,0,102,65,4,51,53,52,39.77
2005460,5772,8793,405,260,962,78,4710,1237,519,1929,2767,650,39.63
2005490,3716,11821,58,139,648,0,3001,242,491,1651,1389,206,23.92
2005520,121,125,9,4,6,0,116,16,11,48,55,7,49.19
2005550,236,322,10,3,4,1,228,21,20,106,97,10,42.29
2005580,4329,6562,428,354,301,0,3208,2037,126,1614,1668,1624,39.75
2005610,504,762,36,22,83,7,412,107,45,169,241,57,39.81
2005640,417,818,38,2,31,0,397,38,52,179,194,17,33.77
2005700,487,1098,27,7,53,4,450,37,72,213,174,14,30.73
2005730,1676,3600,104,116,367,0,1275,205,168,566,622,127,31.77
2005760,143,148,11,5,8,0,137,18,13,57,64,8,49.14
2005790,287,436,28,24,20,0,213,135,8,107,111,108,39.7
2005800,292,410,14,9,11,1,288,28,39,135,95,0,41.6
2005820,445,615,32,2,15,0,421,46,47,196,179,15,41.98
2005850,453,617,19,5,7,2,437,40,39,204,187,20,42.34
2005870,803,1133,37,23,31,1,790,76,105,375,268,1,41.48
2005940,5232,5400,390,170,277,5,5004,675,490,2070,2347,297,49.21
2006000,668,763,59,5,33,2,647,50,61,289,321,24,46.68
2006060,372,824,21,5,40,3,343,29,55,162,134,11,31.1
2006090,1342,1895,74,117,138,0,1206,149,113,332,365,96,41.46
2006120,809,837,60,26,43,1,774,104,76,320,363,46,49.15
2006180,2212,2526,194,15,110,6,2139,166,202,958,1063,78,46.69
2006210,112,170,11,9,8,0,83,53,3,42,43,42,39.72
2006240,425,903,25,27,84,0,338,55,41,151,158,33,32.0
2006270,842,869,63,27,45,1,806,109,79,333,378,48,49.21
2006300,729,832,64,5,36,2,705,55,67,315,350,26,46.7
2006330,1070,2095,98,5,79,0,1017,97,133,458,497,43,33.81
2006360,614,701,54,4,31,2,594,46,56,266,295,22,46.69
2006390,4835,7328,478,396,336,0,3582,2275,140,1803,1863,1814,39.75
2006420,3388,7416,271,264,440,0,2874,493,282,1496,1362,375,31.36
2006450,1261,1439,110,9,63,4,1220,96,115,545,606,45,46.7
2006480,941,1075,82,7,47,3,910,71,86,407,452,33,46.68
2006510,235,329,11,7,9,0,231,22,32,109,76,0,41.67
2006540,3906,7543,168,180,450,11,3622,684,332,1625,1572,348,34.12
2006570,311,339,22,9,16,0,298,39,28,127,141,16,47.85
2006580,1056,1436,43,12,17,5,1018,92,91,475,435,47,42.38
2006630,149,203,6,2,2,1,144,13,13,67,61,7,42.33
2006660,2876,3975,209,12,98,0,2723,300,301,1267,1157,95,41.98
2006690,232,316,9,3,4,1,224,20,20,105,96,10,42.34
2006720,259,358,19,1,9,0,246,27,27,114,104,9,41.98
2006780,99,134,4,1,2,0,95,9,9,44,41,4,42.49
2006840,564,1151,20,26,57,0,540,93,47,247,215,47,32.89
2006870,81,84,6,3,4,0,77,10,8,32,36,5,49.09
2006930,548,566,41,18,29,1,524,71,51,217,246,31,49.19
2006960,897,1442,33,7,46,0,874,92,68,453,426,18,38.35
2006990,142,197,10,1,5,0,135,15,15,63,57,5,41.89
2007020,4453,6059,182,53,71,19,4296,389,385,2004,1836,197,42.36
2007050,3640,5545,256,164,607,49,2970,780,328,1216,1745,410,39.63
2007080,56,76,2,1,1,0,54,5,5,25,23,2,42.42
2007110,447,614,22,13,18,1,440,44,59,205,150,2,42.13
2007170,531,1080,19,24,53,0,509,86,44,233,203,43,32.96
2007260,418,569,17,5,7,2,404,37,36,188,172,18,42.35
2007290,831,858,62,27,44,1,795,107,78,329,373,47,49.2
2007320,584,806,42,2,20,0,552,61,61,257,235,19,42.01
2007350,429,651,42,35,30,0,318,202,12,160,165,161,39.72
2007380,707,1594,39,10,77,5,654,54,105,309,253,20,30.73
2007440,348,421,21,11,16,0,336,40,40,147,134,10,45.25
2007470,372,838,21,5,40,3,344,28,55,163,133,11,30.74
2007500,443,457,33,14,23,0,423,57,41,175,199,25,49.22
2007530,387,527,16,5,6,2,374,34,34,174,160,17,42.34
2007560,649,984,64,53,45,0,481,306,19,242,250,244,39.74
2007590,507,578,45,3,25,1,491,38,47,219,244,18,46.73
2007620,5178,7986,188,14,227,0,5049,480,386,2667,2524,57,39.33
2007650,2470,2549,184,80,131,2,2362,319,231,977,1108,140,49.21
2007680,101,153,10,8,7,0,75,47,3,38,39,38,39.76
2007710,404,623,15,1,18,0,394,37,30,208,197,4,39.34
2007740,1503,1717,132,10,75,4,1454,113,138,651,722,53,46.68
2007750,416,786,38,2,30,0,397,38,50,178,194,16,34.61
2007800,230,348,23,19,16,0,170,108,7,86,88,86,39.79
2007860,289,438,29,24,20,0,214,136,8,108,111,108,39.75
2007890,7678,9111,341,509,1030,0,6727,1547,1410,1809,2462,658,45.73
2007950,25598,19005,1761,1383,7928,0,14584,8140,1554,8908,9540,6151,57.39
2007970,1177,1846,57,56,147,3,1051,184,202,362,393,77,38.93
2008040,227,259,20,2,11,1,219,17,21,98,109,8,46.71
2008070,990,1370,71,4,35,0,937,104,103,436,399,33,41.95
2008100,328,455,24,2,12,0,308,38,33,144,131,14,41.89
2008130,225,311,16,1,8,0,213,24,24,99,91,7,41.98
2008190,364,552,36,30,25,0,270,171,11,136,140,136,39.74
2008220,339,468,25,1,12,0,321,35,35,149,136,11,42.01
2008250,727,1424,66,3,54,0,691,66,91,311,338,29,33.8
2008280,411,622,41,34,29,0,304,193,12,153,158,154,39.79
2008310,351,540,13,1,15,0,341,32,26,181,170,4,39.39
2008340,1876,3674,172,8,138,0,1784,171,234,804,872,75,33.8
2008370,998,1379,72,4,34,0,945,104,105,439,401,33,41.99
2008400,17188,24073,949,1514,1764,0,15434,1918,1434,4223,4637,1235,41.66
2008430,3536,6926,323,15,261,1,3363,322,441,1515,1644,141,33.8
2008550,457,934,29,29,96,1,352,63,45,154,178,38,32.85
2008610,389,530,16,5,6,2,376,34,34,175,161,17,42.33
2008670,297,306,22,10,16,0,284,38,28,117,133,17,49.25
2008700,119,164,9,0,4,0,113,12,12,52,48,4,42.05
2008730,2814,4265,278,230,196,0,2085,1324,82,1049,1084,1056,39.75
2008790,370,519,17,11,14,1,364,35,50,171,120,0,41.62
2008880,231,357,8,1,10,0,225,21,17,119,113,3,39.29
2008910,155,211,6,2,2,1,150,14,13,70,64,7,42.35
2008940,253,263,19,8,13,0,243,32,24,100,113,14,49.03
2008970,1220,2390,112,5,90,0,1161,111,152,523,568,49,33.8
2009000,312,703,17,4,34,2,288,24,46,136,112,9,30.74
2009030,644,993,23,2,28,0,628,60,48,332,314,7,39.34
2009060,189,261,14,1,6,0,179,20,20,83,76,6,42.0
2009090,259,267,19,8,14,0,248,33,24,103,116,15,49.24
2009140,4939,10085,175,228,500,0,4729,812,413,2166,1883,409,32.87
2009180,10812,12829,480,717,1450,0,9473,2178,1986,2547,3467,926,45.73
2009240,694,716,52,22,37,1,664,89,65,275,311,39,49.22
2009320,509,1148,28,7,55,4,471,39,76,223,182,15,30.72
2009360,390,852,25,4,40,2,363,31,56,169,149,13,31.4
2009390,2533,3906,92,7,111,0,2470,235,189,1304,1234,28,39.34
2009420,271,410,27,22,19,0,200,127,8,101,104,102,39.79
2009450,477,660,35,2,16,0,452,50,50,210,192,16,41.95
2009480,161,360,9,2,17,1,149,12,24,70,58,5,30.9
2009510,588,1327,33,8,64,4,544,45,87,257,211,17,30.7
2009570,569,799,26,17,22,1,560,54,77,264,185,1,41.59
2009600,144,218,14,12,10,0,106,68,4,54,55,54,39.78
2009630,211,320,21,17,15,0,156,99,6,79,81,79,39.74
2009660,287,328,25,2,14,1,277,22,26,124,138,10,46.67
2009720,82,124,8,7,6,0,61,39,2,31,32,31,39.81
2009780,554,872,20,3,27,0,539,54,42,282,266,9,38.85
2009840,1557,2300,111,53,201,15,1329,285,147,567,713,140,40.37
2009850,118,161,5,1,2,1,114,10,10,53,49,5,42.29
2009900,672,694,50,22,36,1,643,87,63,266,302,38,49.19
2009930,298,406,12,4,5,1,288,26,26,134,123,13,42.33
2009960,2697,5504,95,124,273,0,2582,443,225,1182,1028,223,32.89
2009990,1166,1798,42,3,51,0,1137,108,87,600,568,13,39.34
2010020,877,1194,36,10,14,4,847,77,76,395,362,39,42.35
2010050,473,643,19,6,8,2,456,41,41,213,195,21,42.38
2010080,469,638,19,6,7,2,452,41,41,211,193,21,42.37
2010140,17821,44230,1259,1407,2295,0,15032,2299,1571,7759,6849,1895,28.72
2010170,340,420,16,21,44,0,300,66,62,86,110,27,44.74
2010230,424,956,23,6,46,3,392,32,63,185,152,12,30.72
2010260,793,1554,73,3,58,0,755,72,99,340,369,32,33.79
2010290,376,511,15,4,6,2,363,33,33,169,155,17,42.39
2010320,438,988,24,6,48,3,405,33,65,192,157,13,30.72
2010350,370,423,32,3,18,1,358,28,34,160,178,13,46.66
2010410,720,1583,40,14,78,5,664,56,104,306,254,22,31.26
2010440,309,417,22,2,12,0,292,33,32,135,125,11,42.56
2010470,124,169,5,1,2,1,120,11,11,56,51,5,42.32
2010500,1501,2935,138,6,110,0,1428,136,188,642,698,60,33.84
2010560,1716,1959,150,12,85,5,1659,129,157,743,824,60,46.69
2010590,384,440,28,14,25,0,362,49,36,151,170,22,46.6
2010620,931,1606,52,56,98,3,845,91,101,297,282,51,36.7
2010650,575,783,23,7,9,2,555,50,50,259,237,25,42.34
2010680,2990,2220,206,162,926,0,1703,951,182,1040,1114,718,57.39
2010710,4295,4904,376,30,214,12,4154,322,393,1859,2064,151,46.69
2010740,405,551,17,5,6,2,391,35,35,182,167,18,42.36
2010770,254,497,23,1,19,0,242,23,32,109,118,10,33.82
2010800,884,1060,76,7,47,2,852,67,84,383,419,30,45.47
2010890,1331,1839,97,5,46,0,1260,139,139,586,535,44,41.99
2010920,272,418,10,1,11,0,266,26,21,139,132,3,39.42
2010950,265,361,11,3,4,1,256,23,23,119,109,12,42.33
2010980,298,356,13,20,40,0,262,60,54,71,96,25,45.57
2011040,116,158,5,1,2,1,112,10,10,52,48,5,42.34
2011080,1261,2280,61,54,154,6,1141,224,108,509,537,112,35.61
2011100,917,1088,41,61,123,0,803,185,168,216,294,79,45.74
2011130,657,750,58,5,33,2,635,49,60,284,316,23,46.7
2011190,82,124,8,7,6,0,61,39,2,31,32,31,39.81
2011220,159,342,10,11,35,0,121,19,16,54,59,12,31.74
2011250,1262,1923,89,57,210,17,1030,270,114,422,605,142,39.62
2011280,94,130,7,0,3,0,88,11,10,41,38,4,41.96
2011310,1021,1389,42,12,16,4,985,89,88,459,421,45,42.37
2011370,8380,11758,388,249,318,16,8250,798,1131,3885,2718,8,41.61
2011400,205,311,20,17,14,0,152,97,6,77,79,77,39.73
2011430,158,219,11,1,5,0,150,17,17,70,64,5,41.91
2011490,2765,5286,137,52,382,15,2442,317,372,1211,1036,111,34.34
2011520,454,468,34,15,24,0,434,58,42,179,203,26,49.24
2011550,257,526,9,12,26,0,246,42,22,113,98,21,32.82
2011610,219,298,9,3,3,1,211,19,19,98,90,10,42.36
2011640,24019,76002,567,1161,3467,0,19148,2888,2002,10047,9131,2500,24.01
2011700,403,909,22,6,44,3,373,31,60,176,144,12,30.72
2011760,345,483,16,10,13,1,339,33,47,160,112,0,41.67
2011790,126,174,9,1,4,0,119,13,13,56,51,4,42.0
2011820,164,249,16,13,11,0,122,77,5,61,63,62,39.71
2011850,2200,4930,177,137,251,0,1918,280,207,957,901,205,30.86
2011880,349,474,14,4,6,2,336,30,30,157,144,15,42.41
2011910,295,408,21,1,10,0,280,31,31,130,119,10,41.96
2011970,222,306,16,1,8,0,210,23,23,98,89,7,42.05
2012000,9448,42367,288,988,793,0,7917,226,992,3546,2338,862,18.23
2012030,479,739,17,1,21,0,467,44,36,247,233,5,39.33
2012060,370,503,15,4,6,2,357,32,32,166,153,16,42.38
2012090,300,455,30,25,21,0,223,141,9,112,116,113,39.74
2012120,276,383,12,6,8,1,270,25,32,127,100,5,41.88
2012150,345,523,34,28,24,0,256,162,10,129,133,130,39.75
2012180,3190,4967,140,80,533,12,2690,488,380,1385,1242,167,39.11
2012210,1408,2757,129,6,104,0,1339,128,176,603,655,56,33.81
2012260,20099,20954,698,608,4286,28,15688,4258,1990,8834,8400,1388,48.96
2012300,1284,2758,80,89,281,0,976,157,129,434,477,97,31.77
2012330,218,492,12,3,24,2,202,17,32,96,78,6,30.7
2012360,4106,3048,282,222,1272,0,2339,1306,249,1429,1530,987,57.39
2012390,382,400,28,12,20,0,365,49,36,152,170,22,48.85
2012420,1002,1519,99,82,70,0,742,471,29,374,386,376,39.75
2012450,410,468,36,3,20,1,397,31,38,178,197,14,46.7
2012510,1879,3885,78,97,244,0,1709,290,165,778,712,152,32.6
2012540,256,578,14,4,28,2,237,20,38,112,92,7,30.7
2012600,316,430,13,4,5,1,305,28,27,142,130,14,42.36
2012630,480,654,20,6,8,2,463,42,42,216,198,21,42.33
2012780,375,525,17,11,15,1,368,36,51,172,121,0,41.67
2012810,538,567,40,17,29,0,515,69,51,213,240,30,48.69
2012840,1499,2071,109,6,51,0,1418,156,157,660,603,49,41.99
2012870,862,1062,72,12,48,2,827,68,81,358,396,34,44.8
2012900,56,76,2,1,1,0,54,5,5,25,23,2,42.42
2012990,57997,71749,4892,3310,13524,142,45554,10888,5925,20321,23854,7251,44.7
2013020,258,581,14,4,28,2,238,20,38,113,92,7,30.75
2013050,2894,2987,216,94,153,3,2768,373,271,1145,1299,164,49.21
2013110,535,552,40,17,28,0,511,69,50,211,240,30,49.22
2100030,4329,3020,120,60,233,9,4153,116,300,1991,2281,102,58.91
2100070,4432,3551,294,55,198,0,4297,216,318,1924,2136,164,55.52
2100078,2646,2173,98,26,618,1,2153,137,562,876,1101,79,54.91
2100079,1479,1859,82,30,216,3,1356,88,233,614,713,35,44.31
2100081,7219,5304,292,12,429,146,6977,339,523,3519,4514,16,57.65
2100120,4464,5638,108,12,511,0,4004,218,477,1863,1564,91,44.19
2100150,4676,3810,83,40,107,5,4578,92,467,2120,2455,29,55.1
2100180,287,220,7,3,11,0,284,4,32,126,121,4,56.61
2100210,1461,1582,48,2,194,3,1323,88,170,709,669,19,48.01
2100240,814,361,35,9,27,0,793,11,52,362,363,3,69.28
2100270,2211,2877,115,31,285,3,2043,110,330,941,1092,59,43.46
2100300,6048,4847,401,75,271,0,5863,294,435,2626,2915,224,55.51
2100330,2669,2047,63,28,99,0,2647,41,301,1173,1129,37,56.59
2100360,969,1598,28,29,81,0,903,57,102,347,363,38,37.75
2100390,3392,1504,145,38,112,0,3303,46,218,1506,1514,11,69.28
2100420,929,1243,35,31,50,0,893,29,110,424,372,21,42.77
2100480,1651,1012,36,14,118,0,1629,66,145,490,698,24,62.0
2100510,14422,33571,1288,42,101,0,14016,720,1929,6049,5067,859,30.05
2100540,2574,3179,131,40,244,0,2379,185,186,1021,1088,72,44.74
2100570,5276,5916,194,382,1116,0,4084,512,556,1454,1869,788,47.14
2100620,4898,3991,87,42,112,5,4795,97,490,2221,2571,31,55.1
2100630,3171,2954,100,21,176,0,3035,131,385,1179,1341,106,51.77
2100660,1469,1126,34,16,55,0,1457,23,166,646,621,20,56.61
2100690,3509,977,146,2,39,0,3498,14,226,1745,2218,15,78.22
2100720,3169,4125,164,44,408,4,2928,157,472,1349,1566,85,43.45
2100750,12676,18842,732,15,614,0,12501,555,1332,6349,6256,323,40.22
2100780,535,676,13,1,61,0,480,26,57,223,188,11,44.18
2100810,2663,2134,177,33,119,0,2582,130,191,1156,1283,99,55.51
2100840,2951,2168,119,5,175,60,2852,139,214,1438,1845,7,57.65
2100870,5103,5526,167,6,678,12,4622,309,593,2478,2339,68,48.01
2100900,8418,11267,322,278,451,0,8096,266,996,3843,3368,192,42.76
2100930,2071,1445,58,29,111,4,1986,55,144,952,1091,49,58.9
2100960,911,986,30,1,121,2,825,55,106,442,417,12,48.02
2100990,1832,2452,70,60,98,0,1762,58,217,836,733,42,42.76
2101020,5718,4660,101,49,130,6,5598,113,572,2593,3002,36,55.1
2101050,3653,2548,101,51,196,8,3504,98,253,1680,1924,86,58.91
2101110,1226,983,81,15,55,0,1189,60,88,533,591,45,55.5
2101150,12357,10147,459,121,2884,6,10053,638,2625,4092,5140,368,54.91
2101200,6507,8036,332,100,618,0,6013,468,469,2581,2752,182,44.74
2101230,5095,2807,85,25,63,0,5028,86,588,2138,2549,40,64.48
2101260,2119,1478,59,29,114,4,2033,57,147,974,1116,50,58.91
2101290,226,294,12,3,29,0,209,11,34,96,112,6,43.46
2101320,2768,1228,118,31,92,0,2695,38,178,1229,1235,9,69.27
2101350,4940,8147,145,148,414,0,4602,292,521,1771,1849,192,37.75
2101380,2098,1541,85,4,125,42,2028,99,152,1022,1312,5,57.65
2101410,1348,941,37,19,72,3,1293,36,93,620,710,32,58.89
2101440,2885,2687,91,20,160,0,2760,119,350,1072,1220,96,51.78
2101470,12012,17530,693,339,765,0,11369,654,1504,5364,5533,515,40.66
2101500,571,420,23,1,34,12,552,27,41,278,357,1,57.62
2101530,898,1202,34,30,48,0,864,28,106,410,359,20,42.76
2101620,2610,2091,173,32,117,0,2530,127,187,1133,1258,97,55.52
2101650,2053,2528,118,51,321,5,1873,134,334,840,975,47,44.82
2101680,1580,1287,28,14,36,2,1547,31,158,716,829,10,55.11
2101710,370,797,39,18,17,2,360,34,29,163,153,19,31.71
2101740,2751,4538,81,82,231,0,2563,163,290,986,1030,107,37.74
2101760,3419,2095,75,29,245,0,3373,137,299,1015,1446,49,62.01
2101800,788,642,14,7,18,1,772,16,79,357,414,5,55.1
2101860,58613,80690,3113,3971,12950,277,44681,5881,5174,17287,19854,5491,42.08
2101920,3156,2421,74,33,117,0,3130,49,356,1387,1335,43,56.59
2101950,9704,4386,258,22,190,0,9546,176,738,4414,6215,174,68.87
2101980,855,1080,21,2,98,0,767,42,91,357,300,17,44.19
2102010,8787,11099,212,24,1005,0,7881,429,940,3668,3079,180,44.19
2102040,2744,3673,105,90,147,0,2639,87,325,1253,1098,63,42.76
2102070,461,499,15,1,61,1,417,28,54,224,211,6,48.02
2102100,766,829,25,1,102,2,693,46,89,372,351,10,48.03
2102130,1469,1966,56,48,79,0,1413,46,174,671,588,33,42.77
2102160,3354,3124,106,23,186,0,3209,138,407,1247,1418,112,51.78
2102220,2877,2305,191,36,129,0,2789,140,207,1249,1386,107,55.52
2102250,3645,4879,139,120,195,0,3506,115,431,1664,1458,83,42.76
2102280,5118,5543,167,6,680,12,4635,309,595,2485,2346,68,48.01
2102300,4390,5714,228,61,565,5,4056,218,654,1869,2169,117,43.45
2102340,2545,1775,71,35,137,5,2441,68,176,1170,1341,60,58.91
2102400,3994,3255,71,34,91,4,3910,79,399,1811,2097,25,55.1
2102460,1525,2022,100,5,185,0,1419,84,140,648,909,54,42.99
2102490,15531,19123,891,385,2431,34,14167,1013,2529,6356,7377,352,44.82
2102520,731,324,31,8,24,0,712,10,47,325,326,2,69.29
2102540,6265,2778,268,70,207,0,6099,85,403,2782,2795,21,69.28
2102580,3290,4062,168,51,312,0,3040,237,237,1305,1391,92,44.75
2102640,3576,2866,237,44,160,0,3467,174,257,1553,1723,133,55.51
2102670,1330,370,55,1,15,0,1326,5,86,661,841,6,78.24
2102710,7515,9962,495,26,912,0,6994,413,691,3194,4481,266,43.0
2102760,1396,3005,145,67,63,6,1357,128,108,613,577,72,31.72
2102790,855,926,28,1,114,2,774,52,99,415,392,11,48.01
2102860,10030,7370,406,17,596,203,9694,472,727,4889,6272,23,57.64
2102910,315,88,13,0,3,0,314,1,20,156,199,1,78.16
2102940,3245,1787,54,16,40,0,3202,54,375,1361,1623,25,64.49
2102990,148985,180951,8627,5594,53745,197,100555,13210,16539,57221,51500,15304,45.16
2103000,805,224,34,0,9,0,802,3,52,400,508,3,78.23
2103030,10484,9765,332,71,583,0,10033,432,1272,3896,4434,349,51.78
2103060,5134,2320,137,12,100,0,5050,93,391,2335,3288,92,68.88
2103090,16105,26559,472,482,1350,0,15003,953,1699,5773,6027,626,37.75
2103120,3973,1105,166,2,44,0,3960,16,256,1975,2510,17,78.24
